item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
CG Cabin Filter,MZ600143,800,5,680,748,1,0
FUEL FILTER,1770A337/A338,2300,5,1955,2150.5,1,0
Spark Plugs Iridium Tough,"18846-08060, MQ510099(ILZKR6F11)",3000,5,2550,2805,1,0
Spark Plugs Iridium Tough VK20,MS851728,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VFK16,Mitsubishi,2700,5,2295,2524.5,1,0
Spark Plugs Iridium Tough VXUH22,Mitsubishi,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VKH20,Mitsubishi,1900,5,1615,1776.5,1,0
Spark Plugs Iridium Tough VK16,MS851727,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VK22,MD319586,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VKA20,Mitsubishi,2100,5,1785,1963.5,1,0
Spark Plugs Iridium Tough VW16,MS851417,1218,5,1035.3,1138.83,1,0
Spark Plugs Iridium Tough VW22,MD343244,1334,5,1133.9,1247.29,1,0
Spark Plugs Iridium Power IK22,MZ602042,1450,5,1232.5,1355.75,1,0
CG Oil Filter,15208-65F00,600,5,510,561,1,0
CG Air Filter,16546-ED000,800,5,680,748,1,0
CG Air Filter,16546-74S00,800,5,680,748,1,0
CG Air Filter,16546-EB70A,1100,5,935,1028.5,1,0
Spark Plugs Iridium Tough VK16,-,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VK20,-,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VFXEH20E,22401-ED71B,2850,5,2422.5,2664.75,1,0
Spark Plugs Iridium Tough VKH20,-,1900,5,1615,1776.5,1,0
CG Oil Filter,15208AA100,550,5,467.5,514.25,1,0
CG Air Filter,16546-AA020,750,5,637.5,701.25,1,0
CG Air Filter,16546AA090,1100,5,935,1028.5,1,0
Spark Plugs Iridium Tough VK20,22401AA320,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VK16,-,1800,5,1530,1683,1,0
